lng,lat
152.4182,-24.7705
152.4683,-24.8483
152.4548,-24.805999999999997
142.293,-10.7191
152.4683,-24.8483
152.4548,-24.805999999999997
142.293,-10.7191
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4182,-24.7705
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4683,-24.8483
152.4182,-24.7705
152.4683,-24.8483
152.4182,-24.7705
152.4683,-24.8483
152.4548,-24.805999999999997
152.4367,-24.7914
152.4548,-24.805999999999997
152.4563,-24.8048
152.4548,-24.805999999999997
152.4182,-24.7705
152.4563,-24.8048
152.4367,-24.7914
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4563,-24.8048
152.4548,-24.805999999999997
152.4182,-24.7705
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4683,-24.8483
152.4367,-24.7914
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4563,-24.8048
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4367,-24.7914
152.4367,-24.7914
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4563,-24.8048
152.4548,-24.805999999999997
152.4367,-24.7914
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4367,-24.7914
152.4367,-24.7914
152.4333,-24.7983
152.4367,-24.7914
152.4548,-24.805999999999997
152.4333,-24.7983
152.4548,-24.805999999999997
152.4548,-24.805999999999997
152.4367,-24.7914
152.4367,-24.7914
152.4548,-24.805999999999997
152.4646,-24.8223
152.4367,-24.7914
152.4367,-24.7914
152.4367,-24.7914
152.4367,-24.7914
152.4646,-24.8223
152.4367,-24.7914
152.4367,-24.7914
152.4646,-24.8223
152.4367,-24.7914
152.4367,-24.7914
152.4367,-24.7914
152.4563,-24.8048
152.4367,-24.7914
152.4367,-24.7914
152.4367,-24.7914
152.4367,-24.7914
152.4367,-24.7914
152.4548,-24.805999999999997
152.4646,-24.8223
152.4367,-24.7914
152.4646,-24.8223
152.4367,-24.7914
152.4367,-24.7914
152.4548,-24.805999999999997
152.4646,-24.8223
152.4646,-24.8223
152.4367,-24.7914
152.4367,-24.7914
152.4367,-24.7914
152.4646,-24.8223
152.4567,-24.825
152.4646,-24.8223
152.4333,-24.7983
152.4646,-24.8223
152.4646,-24.8223
152.4646,-24.8223
152.4646,-24.8223
152.4646,-24.8223
152.4646,-24.8223
152.4367,-24.7914
152.4646,-24.8223
152.4367,-24.7914
152.4367,-24.7914
152.4646,-24.8223
152.4646,-24.8223
152.4367,-24.7914
152.4717,-24.87
152.4333,-24.7983
152.4367,-24.7914
152.4367,-24.7914
152.4646,-24.8223
152.4367,-24.7914
152.4646,-24.8223
152.4646,-24.8223
152.4646,-24.8223
152.4646,-24.8223
152.4928,-24.9204
152.4646,-24.8223
152.4333,-24.7983
152.4646,-24.8223
152.4717,-24.87
152.4646,-24.8223
152.4367,-24.7914
152.4811,-24.866999999999997
152.4567,-24.825
152.4646,-24.8223
152.4567,-24.825
152.4646,-24.8223
152.4646,-24.8223
152.4367,-24.7914
152.4646,-24.8223
152.4811,-24.866999999999997
152.4646,-24.8223
152.4646,-24.8223
152.4333,-24.7983
152.4717,-24.87
152.4646,-24.8223
152.4172,-24.7721
152.4811,-24.866999999999997
152.4646,-24.8223
152.4172,-24.7721
152.4172,-24.7721
152.4646,-24.8223
152.4172,-24.7721
152.4811,-24.866999999999997
152.4717,-24.87
152.4928,-24.9204
152.4928,-24.9204
152.4646,-24.8223
152.4567,-24.825
152.4567,-24.825
152.4567,-24.825
152.4717,-24.87
152.4646,-24.8223
152.4928,-24.9204
152.4567,-24.825
152.4624,-24.8154
152.4646,-24.8223
152.4172,-24.7721
152.4172,-24.7721
152.4172,-24.7721
152.4333,-24.7983
152.4172,-24.7721
152.4172,-24.7721
152.4928,-24.9204
152.4624,-24.8154
152.4811,-24.866999999999997
152.4172,-24.7721
152.4172,-24.7721
152.4172,-24.7721
152.4624,-24.8154
152.4928,-24.9204
152.4172,-24.7721
152.4717,-24.87
152.4624,-24.8154
152.4624,-24.8154
152.4624,-24.8154
152.4172,-24.7721
152.4567,-24.825
152.4717,-24.87
152.4624,-24.8154
152.4172,-24.7721
152.4172,-24.7721
152.4172,-24.7721
152.4646,-24.8223
152.4624,-24.8154
152.4624,-24.8154
152.4172,-24.7721
152.4624,-24.8154
152.4172,-24.7721
152.4624,-24.8154
152.4632,-24.8133
152.4172,-24.7721
152.4624,-24.8154
152.4624,-24.8154
152.4172,-24.7721
152.4624,-24.8154
152.4172,-24.7721
139.6467,-17.54
143.4013,-12.6799
152.4624,-24.8154
152.4624,-24.8154
152.4624,-24.8154
152.4928,-24.9204
152.4624,-24.8154
152.4624,-24.8154
149.8805,-21.9956
152.4624,-24.8154
152.4928,-24.9204
152.4172,-24.7721
152.4624,-24.8154
152.4624,-24.8154
152.4624,-24.8154
152.4632,-24.8133
152.4624,-24.8154
149.0794,-20.9783
149.8482,-22.002
152.4624,-24.8154
152.4624,-24.8154
152.4632,-24.8133
152.4624,-24.8154
152.4632,-24.8133
152.4624,-24.8154
152.4624,-24.8154
152.4624,-24.8154
152.4624,-24.8154
152.4624,-24.8154
152.4172,-24.7721
149.851,-22.002
149.8667,-22.0
152.4624,-24.8154
149.0794,-20.9783
149.851,-22.002
149.8659,-22.0052
149.8512,-22.0045
152.4632,-24.8133
149.8482,-22.002
143.4013,-12.6799
152.4624,-24.8154
152.4624,-24.8154
149.4725,-20.7451
152.4624,-24.8154
149.843,-22.0054
149.8482,-22.002
149.8805,-21.9956
149.8805,-21.9956
149.878,-21.9927
139.6467,-17.54
152.4624,-24.8154
149.4725,-20.7451
152.4624,-24.8154
152.4632,-24.8133
149.4725,-20.7451
149.8512,-22.0045
149.0794,-20.9783
149.851,-22.002
149.4708,-20.7423
149.0794,-20.9783
149.4655,-20.7356
149.8512,-22.0045
149.4734,-20.7483
149.8482,-22.002
149.851,-22.002
149.878,-21.9927
149.4731,-20.7468
149.8659,-22.0052
149.0794,-20.9783
148.95,-20.15
149.4655,-20.7356
149.843,-22.0054
149.8512,-22.0045
149.8659,-22.0052
152.4624,-24.8154
149.4657,-20.7312
149.8805,-21.9956
149.0254,-20.2566
149.8512,-22.0045
149.843,-22.0054
149.878,-21.9927
150.2545,-22.2032
149.49,-21.8309
149.4662,-20.7288
148.95,-20.15
149.4731,-20.7468
149.05,-20.45
149.849,-22.1493
149.4734,-20.7483
149.4725,-20.7451
149.4657,-20.7312
149.0254,-20.2566
149.8667,-22.0
149.878,-21.9927
149.4657,-20.7312
139.4362,-16.6981
149.4662,-20.7288
139.2872,-16.748
149.8512,-22.0045
139.5958,-17.1347
149.8667,-22.0
148.95,-20.15
149.8659,-22.0052
149.4655,-20.7356
149.4657,-20.7312
148.95,-20.15
139.2872,-16.748
149.4708,-20.7423
149.849,-22.1493
149.05,-20.45
139.5959,-17.134
139.4652,-16.6695
139.4652,-16.6695
149.49,-21.8309
149.0254,-20.2566
139.5959,-17.134
139.4362,-16.6981
149.4657,-20.7312
149.05,-20.45
142.0621,-10.3518
139.2741,-16.2724
139.1622,-16.7453
139.469,-16.5891
149.4655,-20.7356
142.0621,-10.3518
150.2545,-22.2032
149.8667,-22.0
149.4708,-20.7423
139.2741,-16.2724
139.6181,-17.0987
139.2734,-16.2756
139.5958,-17.1347
149.49,-21.8333
139.4652,-16.6695
139.1622,-16.7453
139.6181,-17.0987
139.2734,-16.2756
139.6257,-17.0636
139.2734,-16.2756
139.4725,-16.607
139.3234,-16.7376
149.49,-21.8309
139.4784,-16.6909
139.8083,-16.4917
139.5958,-17.1347
139.5958,-17.1347
139.8083,-16.4917
142.0621,-10.3518
139.4633,-16.6306
149.49,-21.8309
139.4725,-16.607
139.6257,-17.0636
139.6181,-17.0987
139.6136,-17.1415
139.4729,-16.6121
149.4708,-20.7423
139.2873,-16.7364
139.4731,-16.6076
139.8083,-16.4917
139.6136,-17.1415
139.48,-16.6895
139.4825,-16.6915
139.381,-16.6583
139.6289,-16.5349
139.4796,-16.6314
139.4815,-16.6883
139.4493,-16.6365
139.6181,-17.0987
139.6289,-16.5349
139.469,-16.5891
139.2873,-16.7364
139.4729,-16.6121
139.6181,-17.0987
139.2741,-16.2724
139.4519,-16.6689
139.4784,-16.6909
139.4546,-16.6673
139.4825,-16.6915
139.458,-16.6703
139.4633,-16.6306
149.49,-21.8333
139.3234,-16.7376
139.4652,-16.7054
139.4519,-16.6689
139.4723,-16.6268
139.3489,-16.6913
139.5052,-16.5783
139.7111,-16.5335
139.1609,-16.7507
139.4723,-16.6268
139.5487,-16.3931
139.4652,-16.7054
139.4493,-16.6365
139.48,-16.6895
139.458,-16.6703
139.311,-16.7323
139.7712,-16.4422
139.5787,-16.5294
139.4796,-16.6314
139.717,-16.452
139.717,-16.452
139.381,-16.6583
139.5052,-16.5783
139.4731,-16.6076
139.8415,-16.7089
139.311,-16.7323
139.3489,-16.6913
139.5941,-16.5561
139.6181,-17.0987
139.8247,-16.705
139.252,-16.2331
139.252,-16.2331
149.0595,-20.9248
139.4472,-16.67
139.6289,-16.5349
139.85,-16.6667
139.6874,-16.5369
139.85,-16.6667
139.252,-16.2331
139.7111,-16.5335
139.5941,-16.5561
139.4546,-16.6673
139.8415,-16.7089
139.5487,-16.3931
150.77,-22.94
139.3864,-16.7215
149.7167,-21.5117
149.7167,-21.5117
139.6874,-16.5369
139.4472,-16.67
139.5139,-16.5481
150.77,-22.94
139.4815,-16.6883
139.8247,-16.705
139.5139,-16.5481
139.252,-16.2331
149.77100000000002,-21.6024
139.5064,-16.9867
139.5555,-17.0356
139.8247,-16.705
139.7712,-16.4422
139.717,-16.452
149.3199,-21.3329
139.1609,-16.7507
139.4971,-16.9771
141.4812,-15.5008
149.317,-21.3295
139.3864,-16.7215
139.85,-16.6833
139.4916,-16.9817
150.3067,-21.4713
139.5787,-16.5294
139.8406,-16.7109
139.85,-16.6833
139.1421,-16.7622
141.435,-15.6594
139.4916,-16.9817
141.4193,-15.7836
139.8406,-16.7109
139.85,-16.6667
150.3082,-21.4692
139.5555,-17.0356
141.4193,-15.7836
141.4028,-16.0003
149.3207,-21.3256
138.115,-16.6517
139.5064,-16.9867
149.317,-21.3295
150.77,-22.94
149.0595,-20.9248
149.3199,-21.3329
139.1708,-17.2027
139.4971,-16.9771
149.77100000000002,-21.6024
142.7969,-11.155
139.5487,-16.3931
138.4283,-16.7767
139.1421,-16.7622
139.002,-16.8932
139.0365,-16.9303
150.3082,-21.4692
150.77,-22.94
143.532,-12.870999999999999
140.455,-17.6525
150.3077,-21.474
138.0233,-16.5717
139.1775,-17.2168
149.317,-21.3295
149.3207,-21.3256
138.0783,-16.62
141.4812,-15.5008
149.317,-21.3295
138.6317,-16.7717
140.2958,-17.6897
138.976,-16.89
149.3207,-21.3256
149.3207,-21.3256
150.3067,-21.4713
139.85,-16.6833
142.2108,-9.9486
141.5656,-14.7373
140.2958,-17.6897
141.435,-15.6594
141.5656,-14.7373
142.7969,-11.155
139.1472,-17.1087
150.3077,-21.474
148.7322,-20.6491
138.0517,-16.5967
143.532,-12.870999999999999
142.1017,-10.0598
138.0233,-16.5717
141.4028,-16.0003
138.0783,-16.62
138.115,-16.6517
140.9518,-17.1101
139.002,-16.8932
138.976,-16.89
138.0517,-16.5967
138.4802,-16.7817
138.0783,-16.62
138.655,-16.7767
138.7517,-16.835
142.1393,-10.1828
142.0719,-10.124
142.085,-10.1112
142.0829,-10.129
141.5893,-14.8547
138.7517,-16.835
140.31799999999998,-17.6862
140.31799999999998,-17.6862
148.7187,-20.6271
138.115,-16.6517
142.1166,-10.1975
148.7322,-20.6491
139.1708,-17.2027
139.0365,-16.9303
142.1398,-10.1878
142.1054,-10.0671
139.1775,-17.2168
138.6317,-16.7717
138.655,-16.7767
142.1305,-10.1892
141.5893,-14.8547
142.1064,-10.0599
142.1069,-10.0502
142.1175,-10.2455
138.4283,-16.7767
142.1203,-10.0225
142.1507,-10.2125
142.1194,-10.2403
138.9083,-16.8783
142.1111,-10.2403
142.1115,-10.0777
142.1075,-10.0534
138.4802,-16.7817
142.1145,-10.1952
142.1054,-10.058
142.1093,-10.0698
142.1307,-10.195
142.1123,-10.1949
142.1099,-10.1948
142.1102,-10.0753
142.0839,-10.1342
142.1172,-10.2445
138.9083,-16.8783
142.0694,-10.2617
143.217,-11.9851
142.1191,-10.3552
148.7187,-20.6271
139.1472,-17.1087
142.0697,-10.2421
142.1469,-10.187999999999999
142.1222,-10.0176
142.1426,-10.1878
142.0836,-10.131
142.1172,-10.3528
142.1752,-10.2267
142.0899,-10.0879
142.0538,-10.3516
142.1199,-10.2412
142.1086,-10.0689
142.0772,-10.2493
142.1553,-10.2148
142.1182,-10.2432
140.9518,-17.1101
142.1545,-10.2161
142.1174,-10.2393
142.0829,-10.129
142.1669,-10.2098
142.1721,-10.1847
142.1747,-10.179
142.071,-10.2428
142.2086,-9.9635
142.0803,-10.2395
142.085,-10.1112
142.1075,-10.0534
142.1102,-10.0753
142.128,-10.1876
142.1676,-10.1857
142.1084,-10.2493
142.1398,-10.1865
142.0497,-10.3535
142.2108,-9.9486
142.0899,-10.0879
142.0839,-10.1342
142.10399999999998,-10.2363
142.1069,-10.0502
142.1398,-10.1878
143.129,-11.9073
142.0429,-10.3581
142.0617,-10.2321
142.1043,-10.3561
142.1393,-10.1828
142.0695,-10.2596
142.0702,-10.2372
142.1105,-10.2505
143.1074,-11.8952
142.1507,-10.2125
142.1747,-10.179
142.1752,-10.2267
142.1017,-10.0598
142.14600000000002,-10.1878
142.0582,-10.2593
142.1183,-10.2479
142.0613,-10.2644
142.2086,-9.9635
142.1174,-10.2393
142.1222,-10.0176
142.1203,-10.0225
142.1529,-10.2124
142.1183,-10.2479
142.1545,-10.2161
141.5526,-14.3717
142.0719,-10.124
142.1054,-10.0671
142.0697,-10.2421
142.1054,-10.058
142.0836,-10.131
142.1307,-10.195
142.1064,-10.0599
142.9034,-11.8766
142.1105,-10.2505
142.1529,-10.2124
142.0582,-10.2593
142.1084,-10.2493
142.1166,-10.1975
142.1086,-10.0689
142.1553,-10.2148
142.1426,-10.1878
140.455,-17.6525
142.1669,-10.2098
142.1175,-10.2455
142.1093,-10.0698
142.128,-10.1876
139.2873,-17.3473
142.1199,-10.2412
142.1469,-10.187999999999999
142.1145,-10.1952
142.1398,-10.1865
149.8107,-21.9862
142.071,-10.2428
142.1123,-10.1949
142.1305,-10.1892
139.9095,-17.6167
142.1182,-10.2432
139.31,-17.3583
142.14600000000002,-10.1878
142.0695,-10.2596
142.0429,-10.3581
142.1676,-10.1857
142.1191,-10.3552
142.1065,-10.3514
142.0803,-10.2395
142.0613,-10.2644
143.1074,-11.8952
138.3333,-16.7167
142.1099,-10.1948
142.1721,-10.1847
140.1588,-17.7068
149.8107,-21.9862
142.9034,-11.8766
142.0538,-10.3516
142.10399999999998,-10.2363
142.0497,-10.3535
141.5526,-14.3717
143.4417,-9.7783
142.1043,-10.3561
143.217,-11.9851
139.5067,-17.43
149.8132,-21.9901
149.5163,-22.0778
139.8533,-17.6017
142.1115,-10.0777
142.0702,-10.2372
142.0772,-10.2493
149.8132,-21.9901
149.8028,-21.895
142.1194,-10.2403
149.5163,-22.0778
150.1005,-22.0301
139.9095,-17.6167
143.129,-11.9073
142.0617,-10.2321
149.8107,-21.9862
143.4417,-9.7783
150.1005,-22.0301
150.0977,-22.0333
149.8107,-21.9862
138.3333,-16.7167
149.8132,-21.9901
142.0333,-10.8833
139.8533,-17.6017
143.4417,-9.7783
150.0977,-22.0333
139.2873,-17.3473
143.32,-10.1083
142.1172,-10.3528
142.915,-9.8567
143.4083,-9.7533
142.915,-9.8567
142.1065,-10.3514
143.32,-10.1083
142.1111,-10.2403
139.2183,-17.298
149.5163,-22.0778
143.4167,-9.75
140.1588,-17.7068
149.8028,-21.895
142.0333,-10.8832
143.4167,-9.75
142.0819,-10.3254
142.295,-10.7217
142.295,-10.7217
142.15,-10.7333
143.4167,-9.75
142.0333,-10.8833
143.4417,-9.7783
144.0333,-9.95
143.32,-10.1083
139.2183,-17.298
139.5067,-17.43
142.0819,-10.3254
139.31,-17.3583
143.2267,-10.175
142.0333,-10.8832
144.0333,-9.95
142.0333,-10.8833
142.1172,-10.2445
142.7733,-9.905
149.8028,-21.895
149.8132,-21.9901
142.295,-10.7217
143.4167,-9.75
142.5278,-10.685
142.0333,-10.8833
142.15,-10.7167
142.3467,-10.55
142.5278,-10.685
143.8667,-9.4833
142.0333,-10.8833
142.5278,-10.685
142.1183,-11.2417
149.8028,-21.895
142.15,-10.7333
144.0333,-9.95
142.915,-9.8567
142.7733,-9.905
142.4367,-10.4617
143.4083,-9.7533
142.0694,-10.2617
143.8667,-9.4833
143.4083,-9.7533
142.305,-10.5367
142.1183,-11.2417
143.855,-9.4783
143.32,-10.1083
143.2267,-10.175
142.7733,-9.905
142.15,-10.7167
149.5163,-22.0778
142.0533,-10.36
143.855,-9.4783
142.1183,-11.2417
142.345,-10.5533
142.8167,-10.2
142.4483,-10.4617
142.0333,-10.8833
142.0533,-10.36
143.2267,-10.175
142.975,-9.8
142.5278,-10.685
142.345,-10.5533
142.305,-10.5367
143.855,-9.4783
142.3517,-10.5483
142.3467,-10.55
142.3517,-10.5483
143.2267,-10.175
144.0333,-9.95
142.3517,-10.5483
142.2833,-9.5633
142.4367,-10.4617
142.4367,-10.4617
143.8667,-9.4833
142.5083,-10.1617
143.4167,-9.75
142.4483,-10.4617
141.425,-9.825
142.975,-9.8
142.3467,-10.55
143.855,-9.4783
142.305,-10.5367
143.1167,-9.9883
142.0533,-10.36
142.3583,-10.5567
142.2178,-10.5803
143.55,-9.5167
142.345,-10.5533
143.5467,-9.5167
142.5083,-10.1617
142.15,-10.7333
142.5083,-10.1617
142.2833,-9.5633
142.3583,-10.5567
143.325,-9.7667
142.2917,-10.5242
142.2178,-10.5803
142.675,-10.1467
141.4267,-9.8239
142.2833,-9.5633
142.2217,-10.745
142.2217,-10.745
142.15,-10.7167
143.5467,-9.5167
142.125,-10.9817
142.975,-9.8
141.425,-9.825
141.4267,-9.8239
143.2667,-9.7667
142.0233,-10.8517
142.1133,-10.7033
143.55,-9.5167
143.5467,-9.5167
143.2667,-9.7667
143.1167,-9.9883
142.975,-9.8
142.675,-10.1467
142.125,-10.9817
143.2667,-9.7667
142.3583,-10.5567
142.27700000000002,-10.7082
141.425,-9.825
142.0233,-10.8517
142.82,-10.2117
142.4483,-10.4617
142.82,-10.2117
142.125,-10.9817
142.636,-10.5995
143.325,-9.7667
143.55,-9.5167
143.2583,-9.7667
142.355,-10.8467
142.8167,-10.2
142.024,-10.8513
142.4083,-10.7153
142.024,-10.8513
142.82,-10.2117
142.3983,-10.7267
142.25,-10.91
142.3983,-10.7267
142.3984,-10.7248
142.1133,-10.7033
142.0233,-10.8517
142.4883,-10.2367
142.355,-10.8467
142.83,-10.17
142.2217,-10.745
142.8167,-10.2
142.12,-10.0217
143.1167,-9.9883
143.2583,-9.7667
142.1817,-10.7699
142.636,-10.5995
143.55,-9.5167
143.325,-9.7667
142.4883,-10.2367
142.3175,-10.8406
142.675,-10.1467
144.045,-9.9267
142.3984,-10.7248
142.355,-10.8467
142.636,-10.5995
142.024,-10.8513
142.3984,-10.7248
142.83,-10.17
143.2867,-9.5167
143.2583,-9.7667
142.4083,-10.7153
144.045,-9.9267
142.65,-10.6567
144.045,-9.95
142.3175,-10.8406
144.045,-9.95
142.65,-10.6333
143.2867,-9.5167
142.1133,-10.7033
142.27700000000002,-10.7082
143.1167,-9.9883
142.3983,-10.7267
142.65,-10.6333
142.65,-10.6333
144.045,-9.9267
144.045,-9.95
142.1817,-10.7699
142.83,-10.17
144.0267,-9.9417
144.0267,-9.9417
142.68,-10.6433
142.4883,-10.2367
144.0267,-9.9417
142.65,-10.6567
142.4083,-10.7153
143.3967,-9.9567
143.3617,-9.7167
143.1167,-10.055
144.0267,-9.9417
143.1167,-10.055
143.2867,-9.5167
142.3175,-10.8406
142.12,-10.0217
142.25,-10.91
142.4133,-10.255
142.1817,-10.7699
143.4,-9.95
142.2667,-10.1917
143.3967,-9.9567
143.4,-9.95
142.68,-10.6433
143.1083,-10.405
142.68,-10.6433
143.4,-9.95
144.045,-9.9267
144.045,-9.95
143.1083,-10.405
142.4133,-10.255
142.82,-10.1033
142.645,-9.7983
142.8467,-10.0367
142.175,-9.9567
142.8467,-10.0367
142.25,-10.91
142.82,-10.1033
142.4133,-10.255
142.645,-9.7983
142.65,-10.6333
142.85,-10.03
142.65,-10.6567
142.12,-10.0217
142.6167,-10.6
142.85,-10.03
144.0667,-9.9167
142.175,-9.9567
142.65,-10.6333
142.8467,-10.0367
142.2667,-10.1917
141.5679,-9.6117
142.1792,-9.9568
142.65,-10.6567
144.0667,-9.9167
142.6067,-10.6133
144.0667,-9.9167
142.645,-9.7983
143.1167,-10.055
143.3067,-9.8633
142.6143,-10.6098
142.6167,-10.6
143.3333,-10.1383
142.2667,-10.1917
143.1083,-10.405
144.0667,-9.9167
142.65,-10.6333
142.1,-10.295
143.3333,-10.1383
142.6,-10.6167
143.3067,-9.8633
143.4,-9.95
142.615,-10.595
143.3617,-9.7167
143.3067,-9.8633
143.3617,-9.7167
141.5683,-9.61
143.4083,-9.825
142.6143,-10.6098
142.6067,-10.6133
142.175,-9.9567
143.3617,-9.7167
143.4167,-9.8167
142.82,-10.1033
143.4283,-9.6933
143.4083,-9.825
142.6143,-10.6098
143.4167,-9.8167
143.4283,-9.6933
142.1792,-9.9568
142.6167,-10.6
143.4083,-9.825
142.85,-10.03
143.3967,-9.9567
143.4333,-9.6833
141.5683,-9.61
142.6167,-10.6
142.755,-10.66
142.615,-10.595
143.4167,-9.8167
142.755,-10.66
142.2,-10.5617
143.4167,-9.8167
143.3333,-10.1383
143.3067,-9.8633
142.6167,-10.6
142.1543,-10.5657
143.4167,-9.8167
142.1,-10.295
143.4283,-9.6933
142.1567,-10.57
142.215,-10.9233
142.15,-11.0833
142.2,-10.5617
142.615,-10.595
142.6167,-10.6
142.1283,-10.3883
141.5679,-9.6117
142.1543,-10.5657
142.6067,-10.6133
142.215,-10.9233
142.755,-10.66
142.6,-10.6167
142.445,-10.4983
142.2,-10.5617
143.1083,-10.2583
142.1321,-10.374
142.1567,-10.57
142.1567,-10.57
142.1,-10.295
142.1646,-10.5984
143.4333,-9.6833
141.5683,-9.61
142.15,-10.0833
142.65,-9.77
143.4333,-9.6833
142.5324,-10.6842
143.1083,-10.2583
142.5267,-10.685
143.4083,-9.825
142.215,-10.9233
142.445,-10.4983
142.6,-10.6167
144.2167,-9.4
143.4283,-9.6933
142.15,-10.0833
142.5167,-10.1633
143.4333,-9.6833
141.57,-9.52
144.2167,-9.4
143.1083,-10.2583
142.15,-10.0833
142.5267,-10.685
142.1321,-10.374
142.445,-10.4983
142.15,-11.0833
